CVE_ID	Description	CWE	gpt4o
CVE-2024-0295	A vulnerability, which was classified as critical, was found in Totolink LR1200GB 9.1.0u.6619_B20230130. This affects the function setWanCfg of the file /cgi-bin/cstecgi.cgi. The manipulation of the argument hostName leads to os command injection. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249861 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-78	CWE
CVE-2024-0924	A vulnerability, which was classified as critical, was found in Tenda AC10U 15.03.06.49_multi_TDE01. This affects the function formSetPPTPServer. The manipulation of the argument startIp leads to stack-based buffer overflow. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-252129 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-121	Therefore,
CVE-2024-1459	A path traversal vulnerability was found in Undertow. This issue may allow a remote attacker to append a specially-crafted sequence to an HTTP request for an application deployed to JBoss EAP, which may permit access to privileged or restricted files and directories.	CWE-24	Based on this description, the appropriate Common Weakness Enumeration (CWE) mapping for this vulnerability is CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'). This CWE is designated for vulnerabilities where user input is improperly validated, allowing
CVE-2024-0225	Use after free in WebGPU in Google Chrome prior to 120.0.6099.199 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High)	CWE-416	Based on the described behavior, the appropriate Common Weakness Enumeration (CWE) for this vulnerability is CWE-416,
CVE-2024-1520	An OS Command Injection vulnerability exists in the '/open_code_folder' endpoint of the parisneo/lollms-webui application, due to improper validation of user-supplied input in the 'discussion_id' parameter. Attackers can exploit this vulnerability by injecting malicious OS commands, leading to unauthorized command execution on the underlying operating system. This could result in unauthorized access, data leakage, or complete system compromise.	CWE-78	Given that the issue involves improper validation of input data allowing command execution, CWE-78 is the appropriate mapping because it directly addresses vulnerabilities related
CVE-2024-1655	Certain ASUS WiFi routers models has an OS Command Injection vulnerability, allowing an authenticated remote attacker to execute arbitrary system commands by sending a specially crafted request.	CWE-78	CWE-78
CVE-2024-1576	SQL Injection vulnerability in MegaBIP software allows attacker to obtain site administrator privileges, including access to the administration panel and the ability to change the administrator password. This issue affects MegaBIP software versions through 5.09.	CWE-89	The Common Weakness Enumeration (CWE) that maps
CVE-2024-0521	Code Injection in paddlepaddle/paddle	CWE-94	CWE-94
CVE-2024-1402	"Mattermost fails to check if a custom emoji reaction exists when sending it to a post and to limit the amount of custom emojis allowed to be added in a post, allowing an attacker sending a huge amount of non-existent custom emojis in a post to crash the mobile app of a user seeing the post and to crash the server due to overloading when clients attempt to retrive the aforementioned post. 

"	CWE-400	The primary problem here is related to insufficient validation of input (custom emojis), combined with the lack of restrictions on resource allocation (number of emojis per post).
CVE-2024-0735	A vulnerability was found in SourceCodester Online Tours & Travels Management System 1.0. It has been rated as critical. Affected by this issue is the function exec of the file admin/operations/expense.php. The manipulation leads to sql injection. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. VDB-251558 is the identifier assigned to this vulnerability.	CWE-89	The Common Weakness Enumeration (CWE) associated with SQL Injection is CWE-89. This is because CWE-89 is specifically used to denote improper neutralization of special elements used in an SQL Command
CVE-2024-1925	A vulnerability was found in Ctcms 2.1.2. It has been declared as critical. This vulnerability affects unknown code of the file ctcms/apps/controllers/admin/Upsys.php. The manipulation leads to unrestricted upload. The attack can be initiated remotely. The complexity of an attack is rather high. The exploitation appears to be difficult. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-254860.	CWE-434	CWE-434
CVE-2024-1750	A vulnerability, which was classified as critical, was found in TemmokuMVC up to 2.3. Affected is the function get_img_url/img_replace in the library lib/images_get_down.php of the component Image Download Handler. The manipulation leads to deserialization. It is possible to launch the attack remotely. The complexity of an attack is rather high. The exploitability is told to be difficult. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-254532. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-502	CWE-502
CVE-2024-0001	A condition exists in FlashArray Purity whereby a local account intended for initial array configuration remains active potentially allowing a malicious actor to gain elevated privileges.	CWE-1188	CWE-250
CVE-2024-1261	A vulnerability classified as critical was found in Juanpao JPShop up to 1.5.02. This vulnerability affects the function actionIndex of the file /api/controllers/merchant/app/ComboController.php of the component API. The manipulation of the argument pic_url leads to unrestricted upload. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-253000.	CWE-434	CWE-434
CVE-2024-0472	A vulnerability was found in code-projects Dormitory Management System 1.0. It has been rated as problematic. This issue affects some unknown processing of the file modifyuser.php. The manipulation of the argument mname leads to information disclosure. The exploit has been disclosed to the public and may be used. The identifier VDB-250577 was assigned to this vulnerability.	NVD-CWE-noinfo	"CWE-200 is defined as ""Exposure of Sensitive Information to an Unauthorized Actor,"" which fits the description of the issue. When a parameter (in this case, ""mname"") is manipulated, and this results in unintended information exposure, it aligns well with CWE-200, as it is directly concerned with ensuring that sensitive data"
CVE-2024-0808	Integer underflow in WebUI in Google Chrome prior to 121.0.6167.85 allowed a remote attacker to potentially exploit heap corruption via a malicious file. (Chromium security severity: High)	CWE-191	CWE-191
CVE-2024-0382	The WP Recipe Maker plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's shortcode(s) in all versions up to, and including, 9.1.0 due to unrestricted use of the 'header_tag' attribute. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.	CWE-79	"1. **Nature of the Vulnerability**: It is explicitly described as ""Stored Cross-Site Scripting"", which inherently indicates that user input (in this case, through the use of the 'header_tag' attribute) is stored on the server (within the plugin's functionality) and later served as part of the web content, upon which it can execute malicious scripts when the affected"
CVE-2024-0730	A vulnerability, which was classified as critical, was found in Project Worlds Online Time Table Generator 1.0. This affects an unknown part of the file course_ajax.php. The manipulation of the argument id leads to sql injection. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-251553 was assigned to this vulnerability.	CWE-89	The CWE (Common Weakness Enumeration) category that best maps to this type of vulnerability is CWE-89: SQL Injection. This CWE identifies weaknesses that lead to SQL Injection vulnerabilities, where the software constructs all or part of an SQL command using externally-influ
CVE-2024-1700	"A vulnerability, which was classified as problematic, was found in keerti1924 PHP-MYSQL-User-Login-System 1.0. Affected is an unknown function of the file /signup.php. The manipulation of the argument username with the input <script>alert(""xss"")</script> leads to cross site scripting. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-254388. NOTE: The vendor was contacted early about this disclosure but did not respond in any way."	CWE-79	C
CVE-2024-1162	The Orbit Fox by ThemeIsle plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to, and including, 2.10.29. This is due to missing or incorrect nonce validation on the register_reference() function. This makes it possible for unauthenticated attackers  to update the connected API keys via a forged request granted they can trick a site administrator into performing an action such as clicking on a link.	CWE-352	The Corresponding CWE for
CVE-2024-0416	A vulnerability, which was classified as critical, has been found in DeShang DSMall up to 5.0.3. Affected by this issue is some unknown functionality of the file application/home/controller/MemberAuth.php. The manipulation of the argument file_name leads to path traversal: '../filedir'. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-250436.	CWE-24	The Common Weakness Enumeration (CWE) most closely associated with path traversal vulnerabilities is CWE-22. CWE-22 is defined as “Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')”, and it addresses the failure to properly
CVE-2024-0988	A vulnerability classified as critical was found in Sichuan Yougou Technology KuERP up to 1.0.4. Affected by this vulnerability is the function checklogin of the file /application/index/common.php. The manipulation of the argument App_User_id/App_user_Token leads to improper authentication. The exploit has been disclosed to the public and may be used. The identifier VDB-252253 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-287	CWE-287
CVE-2024-0299	A vulnerability was found in Totolink N200RE 9.3.5u.6139_B20201216. It has been declared as critical. Affected by this vulnerability is the function setTracerouteCfg of the file /cgi-bin/cstecgi.cgi. The manipulation of the argument command leads to os command injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249865 was assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-78	- **Source of the Problem**: This arises from improper validation or sanitization of the input argument `command
CVE-2024-0286	A vulnerability, which was classified as problematic, was found in PHPGurukul Hospital Management System 1.0. This affects an unknown part of the file index.php#contact_us of the component Contact Form. The manipulation of the argument Name/Email/Message leads to cross site scripting. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249843.	CWE-79	The Common Weakness Enumeration (CWE) that corresponds to this type of vulnerability is CWE
CVE-2024-0237	The EventON WordPress plugin through 4.5.8, EventON WordPress plugin before 2.2.7 do not have authorisation in some AJAX actions, allowing unauthenticated users to update virtual events settings, such as meeting URL, moderator, access details etc	CWE-862	The most appropriate Common Weakness Enumeration (CWE) for this vulnerability is CWE-862: Missing Authorization. This CWE refers to the failure of the application to enforce restrictions on the actions users can perform
CVE-2024-1618	A search path or unquoted item vulnerability in Faronics Deep Freeze Server Standard, which affects versions 8.30.020.4627 and earlier. This vulnerability affects the DFServ.exe file. An attacker with local user privileges could exploit this vulnerability to replace the legitimate DFServ.exe service executable with a malicious file of the same name and located in a directory that has a higher priority than the legitimate directory. Thus, when the service starts, it will run the malicious file instead of the legitimate executable, allowing the attacker to execute arbitrary code, gain unauthorized access to the compromised system or stop the service from running.	CWE-428	In this context, the system's search order for executable files is manipulated or taken advantage of to load a malicious executable instead of the intended one. The key issue is that the legitimate program doesn't sufficiently qualify its path or check the integrity and origin of the loaded executable, leading
CVE-2024-1345	Weak MySQL database root password in LaborOfficeFree affects version 19.10. This vulnerability allows an attacker to perform a brute force attack and easily discover the root password.	CWE-521	The most appropriate CWE for this vulnerability is CWE-521: Weak Password Requirements. This CWE is used when a system does not enforce adequate password strengths, making it vulnerable to attack methods such as brute force, and aligns with the issues mentioned in
CVE-2024-0690	An information disclosure flaw was found in ansible-core due to a failure to respect the ANSIBLE_NO_LOG configuration in some scenarios. Information is still included in the output in certain tasks, such as loop items. Depending on the task, this issue may include sensitive information, such as decrypted secret values.	CWE-116	Based on the description, the most appropriate CWE that aligns with this vulnerability is CWE-200: Information Exposure. CWE-200 refers to the unintentional disclosure of information to an actor not explicitly authorized to have access to that information. This aligns with the CVE description as the flaw allows sensitive information to be unintentionally included in the output when it should be excluded according
CVE-2024-0997	A vulnerability was found in Totolink N200RE 9.3.5u.6139_B20201216 and classified as critical. Affected by this issue is the function setOpModeCfg of the file /cgi-bin/cstecgi.cgi. The manipulation of the argument pppoeUser leads to stack-based buffer overflow. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. VDB-252266 is the identifier assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.	CWE-121	Stack-based buffer overflows are a well-known category of vulnerabilities where input validation is lacking, allowing attackers to inject data of greater size than what the buffer can handle. Given this specific nature
CVE-2024-0212	"The Cloudflare Wordpress plugin was found to be vulnerable to improper authentication. The vulnerability enables attackers with a lower privileged account to access data from the Cloudflare API.
"	NVD-CWE-Other	CWE-287
CVE-2024-0879	"
Authentication bypass in vector-admin allows a user to register to a vector-admin server while “domain restriction” is active, even when not owning an authorized email address.


"	CWE-287	"Given the nature of the vulnerability, it aligns well with the category of ""Authentication Bypass by Assumed-Immutable Data,"" but more broadly, it fits the general classification of ""Improper Authentication"" because it fundamentally involves a"
CVE-2024-20096	In m4u, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08996900; Issue ID: MSV-1635.	CWE-125	CWE-125
CVE-2024-0467	A vulnerability, which was classified as problematic, was found in code-projects Employee Profile Management System 1.0. Affected is an unknown function of the file edit_position_query.php. The manipulation of the argument pos_name leads to cross site scripting. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-250572.	CWE-79	"The Common Weakness Enumeration (CWE) entry that best matches this is CWE-79, which represents ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')."" This CWE is the standard designation used to describe vulnerabilities where an"
CVE-2024-0895	The PDF Flipbook, 3D Flipbook – DearFlip plugin for WordPress is vulnerable to Stored Cross-Site Scripting via outline settings in all versions up to, and including, 2.2.26 due to insufficient input sanitization and output escaping on user supplied data. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.	CWE-79	CWE-79
CVE-2024-0725	A vulnerability was found in ProSSHD 1.2 on Windows. It has been declared as problematic. This vulnerability affects unknown code. The manipulation leads to denial of service. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-251548.	CWE-404	The most appropriate CWE for this situation is CWE-400: Uncontrolled Resource Consumption ('Resource Exhaustion'). This is a common category for denial of service attacks, where malicious actors may consume excessive computational resources, thereby leading to
CVE-2024-0414	A vulnerability classified as problematic has been found in DeShang DSCMS up to 3.1.2/7.1. Affected is an unknown function of the file public/install.php. The manipulation leads to improper access controls. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. VDB-250434 is the identifier assigned to this vulnerability.	CWE-284	Additionally, the description notes that the attack
CVE-2024-0921	A vulnerability has been found in D-Link DIR-816 A2 1.10CNB04 and classified as critical. Affected by this vulnerability is an unknown functionality of the file /goform/setDeviceSettings of the component Web Interface. The manipulation of the argument statuscheckpppoeuser leads to os command injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-252139.	CWE-78	"Given this information, the most fitting CWE for this vulnerability is CWE-78, which is ""Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')."" This is because the vulnerability allows an attacker to manipulate inputs to execute unintended commands in the operating system via the"
CVE-2024-0207	HTTP3 dissector crash in Wireshark 4.2.0 allows denial of service via packet injection or crafted capture file	CWE-125	CWE-20
CVE-2024-0424	A vulnerability classified as problematic has been found in CodeAstro Simple Banking System 1.0. This affects an unknown part of the file createuser.php of the component Create a User Page. The manipulation leads to cross site scripting. It is possible to initiate the attack remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-250443.	CWE-79	Therefore, the appropriate CWE mapping
CVE-2024-0824	The Exclusive Addons for Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the Link Anything functionality in all versions up to, and including, 2.6.8 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers, with contributor-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.	CWE-79	CWE-79
CVE-2024-1055	The PowerPack Addons for Elementor (Free Widgets, Extensions and Templates) plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's buttons in all versions up to, and including, 2.7.14 due to insufficient input sanitization and output escaping on user supplied URL values. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.	CWE-79	CWE-79
CVE-2024-1265	A vulnerability classified as problematic has been found in CodeAstro University Management System 1.0. Affected is an unknown function of the file /att_add.php of the component Attendance Management. The manipulation of the argument Student Name leads to cross site scripting. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-253008.	CWE-79	The appropriate Common Weakness Enumeration (CWE) for this type of vulnerability is CWE-79, which describes Improper Neutralization of Input During Web Page Generation, commonly known as Cross-Site Scripting (XSS). This mapping fits because the vulnerability allows the injection of malicious scripts into web pages viewed
CVE-2024-1208	The LearnDash LMS plugin for WordPress is vulnerable to Sensitive Information Exposure in all versions up to, and including, 4.10.2 via API. This makes it possible for unauthenticated attackers to obtain access to quiz questions.	NVD-CWE-noinfo	CWE-200
CVE-2024-1621	The registration process of uniFLOW Online (NT-ware product) apps, prior to and including version 2024.1.0, can be compromised when email login is enabled on the tenant. Those tenants utilising email login in combination with Microsoft Safe Links or similar are impacted. This vulnerability may allow the attacker to register themselves against a genuine user in the system and allow malicious users with similar access and capabilities via the app to the existing genuine user.	NVD-CWE-Other	"CWE-287, ""Improper Authentication,"" occurs when an application does not properly verify the identity of a user, agent, or system. In this scenario, the system should ensure that registration is only possible for legitimate users, but"
CVE-2024-1822	A vulnerability classified as problematic has been found in PHPGurukul Tourism Management System 1.0. Affected is an unknown function of the file user-bookings.php. The manipulation of the argument Full Name leads to cross site scripting. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. VDB-254610 is the identifier assigned to this vulnerability.	CWE-79	"The appropriate CWE for this type of vulnerability is CWE-79, which describes ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')."" CWE-79 includes different types of XSS vulnerabilities, such as reflected, stored, and DOM-based"
CVE-2024-0844	"The Popup More Popups, Lightboxes, and more popup modules plugin for WordPress is vulnerable to Local File Inclusion in version 2.1.6 via the ycfChangeElementData() function. This makes it possible for authenticated attackers, with administrator-level access and above, to include and execute arbitrary files ending with ""Form.php"" on the server , allowing the execution of any PHP code in those files. This can be used to bypass access controls, obtain sensitive data, or achieve code execution in cases where images and other “safe” file types can be uploaded and included."	CWE-22	The appropriate mapping for this type of vulnerability is the CWE-98: Improper Control of Filename for Include/Require Statement in PHP
CVE-2024-0936	A vulnerability classified as critical was found in van_der_Schaar LAB TemporAI 0.0.3. Affected by this vulnerability is the function load_from_file of the component PKL File Handler. The manipulation leads to deserialization. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-252181 was assigned to this vulnerability. NOTE: The vendor was contacted early and confirmed immediately the existence of the issue. A patch is planned to be released in February 2024.	CWE-502	CWE-502
CVE-2024-0962	A vulnerability was found in obgm libcoap 4.3.4. It has been rated as critical. Affected by this issue is the function get_split_entry of the file src/coap_oscore.c of the component Configuration File Handler. The manipulation leads to stack-based buffer overflow. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. It is recommended to apply a patch to fix this issue. VDB-252206 is the identifier assigned to this vulnerability.	CWE-787	Given these details, the appropriate CWE for a stack-based buffer overflow is CWE-121. This CWE identifier is specifically tailored to instances where stack memory is overwritten due to buffer mismanagement, allowing attackers to potentially execute arbitrary code or cause a program to crash, which aligns perfectly with the description given in
CVE-2024-0480	A vulnerability was found in Taokeyun up to 1.0.5. It has been declared as critical. Affected by this vulnerability is the function index of the file application/index/controller/m/Drs.php of the component HTTP POST Request Handler. The manipulation of the argument cid leads to sql injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-250585 was assigned to this vulnerability.	CWE-89	"This matches the characteristics of CWE-89, which is ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"". CWE-"
CVE-2024-1017	A vulnerability was found in Gabriels FTP Server 1.2. It has been rated as problematic. This issue affects some unknown processing. The manipulation of the argument USERNAME leads to denial of service. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. It is recommended to apply a patch to fix this issue. The associated identifier of this vulnerability is VDB-252287.	CWE-404	Denial of service vulnerabilities that are triggered through specific inputs, such as a username field, typically map to the software's failure to handle unexpected input correctly. A frequent CWE category for this type of issue is one related to improper handling in input processing, especially when it
CVE-2024-1182	Uncontrolled Search Path Element vulnerability in ICONICS GENESIS64 all versions, Mitsubishi Electric GENESIS64 all versions and Mitsubishi Electric MC Works64 all versions allows a local attacker to execute a malicious code by storing a specially crafted DLL in a specific folder when GENESIS64 and MC Works64 are installed with the Pager agent in the alarm multi-agent notification feature.	CWE-427	This type of vulnerability is best mapped to CWE-427: Uncontrolled Search Path Element. CWE-427 specifically addresses the risk of
CVE-2024-0182	A vulnerability was found in SourceCodester Engineers Online Portal 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file /admin/ of the component Admin Login. The manipulation of the argument username/password leads to sql injection. The attack may be launched remotely. The identifier of this vulnerability is VDB-249440.	CWE-89	Thus, the appropriate CWE
CVE-2024-0623	The VK Block Patterns plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to, and including, 1.31.1.1. This is due to missing or incorrect nonce validation on the vbp_clear_patterns_cache() function. This makes it possible for unauthenticated attackers to clear the patterns cache via a forged request granted they can trick a site administrator into performing an action such as clicking on a link.	CWE-352	The appropriate CWE for this vulnerability is CWE-352, which addresses
CVE-2024-0190	A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0 and classified as problematic. This issue affects some unknown processing of the file add_quiz.php of the component Quiz Handler. The manipulation of the argument Quiz Title/Quiz Description with the input </title><scRipt>alert(x)</scRipt> leads to cross site scripting. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-249503.	CWE-79	The CWE that corresponds to Cross-S
CVE-2024-1623	Insufficient session timeout vulnerability in the FAST3686 V2 Vodafone router from Sagemcom. This vulnerability could allow a local attacker to access the administration panel without requiring login credentials. This vulnerability is possible because the 'Login.asp and logout.asp' files do not handle session details correctly.	CWE-613	CWE-613: Insufficient Session Expiration
CVE-2024-0412	A vulnerability was found in DeShang DSShop up to 3.1.0. It has been declared as problematic. This vulnerability affects unknown code of the file public/install.php of the component HTTP GET Request Handler. The manipulation leads to improper access controls. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-250432.	CWE-284	"The mention of ""improper access controls"" is a direct indicator for identifying the appropriate Common Weakness Enumeration (CWE) ID. In security contexts, improper access control means that the system fails to enforce restrictions correctly, allowing users to perform actions that should be restricted. This is closely aligned with CWE-284, which stands for """
CVE-2024-1153	Improper Access Control vulnerability in Talya Informatics Travel APPS allows Exploiting Incorrectly Configured Access Control Security Levels.This issue affects Travel APPS: before v17.0.68.	NVD-CWE-noinfo	CWE-284
CVE-2024-1384	The Premium Portfolio Features for Phlox theme plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's 'aux_recent_portfolios_grid' shortcode in all versions up to, and including, 2.3.3 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.	CWE-79	The
CVE-2024-1708	"ConnectWise ScreenConnect 23.9.7 and prior are affected by path-traversal vulnerability, which may allow an attacker 

the ability to execute remote code or directly impact confidential data or critical systems.

"	CWE-22	The CWE that best fits this description is CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'). This CWE refers to software that allows unauthorized read, write, or other operations via relative paths that
CVE-2024-1739	lunary-ai/lunary is vulnerable to an authentication issue due to improper validation of email addresses during the signup process. Specifically, the server fails to treat email addresses as case insensitive, allowing the creation of multiple accounts with the same email address by varying the case of the email characters. For example, accounts for 'abc@gmail.com' and 'Abc@gmail.com' can both be created, leading to potential impersonation and confusion among users.	CWE-821	Given these details, the most appropriate mapping to a CWE is CWE-178: Improper Handling of Case Sensitivity. This CWE deals with scenarios where applications incorrectly handle input that should be case insensitive, leading to potential security vulnerabilities or functional errors.
CVE-2024-1132	A flaw was found in Keycloak, where it does not properly validate URLs included in a redirect. This issue could allow an attacker to construct a malicious request to bypass validation and access other URLs and sensitive information within the domain or conduct further attacks. This flaw affects any client that utilizes a wildcard in the Valid Redirect URIs field, and requires user interaction within the malicious URL.	CWE-22	The applicable Common Weakness Enumeration (CWE) mapping for this vulnerability is CWE-601: URL Redirection to Untrusted Site ('Open Redirect'). This CWE captures the essence of the issue where an application accepts untrusted input that specifies a link to an external site,
CVE-2024-0851	Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Grup Arge Energy and Control Systems Smartpower allows SQL Injection.This issue affects Smartpower: through V24.05.27.	CWE-89	C
CVE-2024-0281	A vulnerability was found in Kashipara Food Management System up to 1.0 and classified as critical. Affected by this issue is some unknown functionality of the file loginCheck.php. The manipulation of the argument password leads to sql injection. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-249836.	CWE-89	C
CVE-2024-1303	Incorrectly limiting the path to a restricted directory vulnerability in Badger Meter Monitool that affects versions up to 4.6.3 and earlier. This vulnerability allows an authenticated attacker to retrieve any file from the device using the download-file functionality.	CWE-22	The Common Weakness Enumeration (CWE) that best matches this description is CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'). This CWE arises when the application does not properly restrict the path, allowing unintended access to the
CVE-2024-0261	A vulnerability has been found in Sentex FTPDMIN 0.96 and classified as problematic. Affected by this vulnerability is an unknown functionality of the component RNFR Command Handler. The manipulation leads to denial of service. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249817 was assigned to this vulnerability.	CWE-404	"Common Weakness Enumeration (CWE) classifies denial of service vulnerabilities typically under CWE-400, which is ""Uncontrolled Resource Consumption."" However, if the denial of service is due to unhandled exceptions, it could also be classified under CWE-248: ""Uncaught Exception."" Given the general nature of this issue and the information provided in the description, we best align it with CWE-"
CVE-2024-1565	The EmbedPress – Embed PDF, YouTube, Google Docs, Vimeo, Wistia Videos, Audios, Maps & Any Documents in Gutenberg & Elementor plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the PDF Widget URL in all versions up to, and including, 3.9.10 due to insufficient input sanitization and output escaping on user supplied attributes. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.	CWE-79	CWE-79
CVE-2024-0655	A vulnerability has been found in Novel-Plus 4.3.0-RC1 and classified as critical. Affected by this vulnerability is an unknown functionality of the file /novel/bookSetting/list. The manipulation of the argument sort leads to sql injection. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-251383.	CWE-89	Therefore, the appropriate CWE classification for this type of vulnerability is CWE-89, which corresponds
CVE-2024-0914	A timing side-channel vulnerability has been discovered in the opencryptoki package while processing RSA PKCS#1 v1.5 padded ciphertexts. This flaw could potentially enable unauthorized RSA ciphertext decryption or signing, even without access to the corresponding private key.	CWE-203	Given this context, the appropriate Common Weakness Enumeration (CWE) is CWE-208, which refers
CVE-2024-2010	Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS) vulnerability in TE Informatics V5 allows Reflected XSS.This issue affects V5: before 6.2.	CWE-79	"The description specifically refers to ""Reflected XSS,"" which is a type of XSS where the malicious script is reflected off a web server, e.g., from a search results page or error message, and is executed immediately. The root cause of this vulnerability generally lies in the failure of the application to properly neutralize or sanitize user input before including"
CVE-2024-0545	A vulnerability classified as problematic was found in CodeCanyon RISE Rise Ultimate Project Manager 3.5.3. This vulnerability affects unknown code of the file /index.php/signin. The manipulation of the argument redirect with the input http://evil.com leads to open redirect. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-250714 is the identifier assigned to this vulnerability.	CWE-601	This entry describes scenarios where a web application redirects users to a URL specified via user input without sufficient validation,
CVE-2024-0717	A vulnerability classified as critical was found in D-Link DAP-1360, DIR-300, DIR-615, DIR-615GF, DIR-615S, DIR-615T, DIR-620, DIR-620S, DIR-806A, DIR-815, DIR-815AC, DIR-815S, DIR-816, DIR-820, DIR-822, DIR-825, DIR-825AC, DIR-825ACF, DIR-825ACG1, DIR-841, DIR-842, DIR-842S, DIR-843, DIR-853, DIR-878, DIR-882, DIR-1210, DIR-1260, DIR-2150, DIR-X1530, DIR-X1860, DSL-224, DSL-245GR, DSL-2640U, DSL-2750U, DSL-G2452GR, DVG-5402G, DVG-5402G, DVG-5402GFRU, DVG-N5402G, DVG-N5402G-IL, DWM-312W, DWM-321, DWR-921, DWR-953 and Good Line Router v2 up to 20240112. This vulnerability affects unknown code of the file /devinfo of the component HTTP GET Request Handler. The manipulation of the argument area with the input notice|net|version leads to information disclosure. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-251542 is the identifier assigned to this vulnerability.	NVD-CWE-noinfo	CWE-200
